Round,Cycle,Bet,Rolls,Matches,Result,Bankroll
1,1,5,"[2, 4, 5]",0,LOSE,9995.0
2,1,15,"[3, 2, 2]",0,LOSE,9980.0
3,1,35,"[2, 3, 6]",0,LOSE,9945.0
4,1,75,"[2, 1, 6]",1,WIN,10020.0
5,1,5,"[5, 4, 2]",0,LOSE,10015.0
6,1,15,"[5, 6, 5]",0,LOSE,10000.0
7,1,35,"[3, 5, 6]",0,LOSE,9965.0
8,1,75,"[2, 4, 4]",0,LOSE,9890.0
9,1,155,"[6, 3, 3]",0,LOSE,9735.0
10,1,315,"[4, 5, 1]",1,WIN,10050.0
11,1,5,"[6, 2, 3]",0,LOSE,10045.0
12,1,15,"[3, 1, 1]",2,WIN,10075.0
13,1,5,"[5, 1, 3]",1,WIN,10080.0
14,1,5,"[1, 3, 1]",2,WIN,10090.0
15,1,5,"[6, 1, 1]",2,WIN,10100.0
16,1,5,"[3, 3, 1]",1,WIN,10105.0
17,1,5,"[2, 5, 1]",1,WIN,10110.0
18,1,5,"[1, 3, 2]",1,WIN,10115.0
19,1,5,"[5, 3, 3]",0,LOSE,10110.0
20,1,15,"[2, 5, 5]",0,LOSE,10095.0
21,1,35,"[4, 2, 6]",0,LOSE,10060.0
22,1,75,"[1, 4, 6]",1,WIN,10135.0
23,1,5,"[5, 3, 5]",0,LOSE,10130.0
24,1,15,"[2, 4, 1]",1,WIN,10145.0
25,1,5,"[5, 1, 2]",1,WIN,10150.0
26,1,5,"[2, 6, 2]",0,LOSE,10145.0
27,1,15,"[3, 2, 1]",1,WIN,10160.0
28,1,5,"[6, 4, 3]",0,LOSE,10155.0
29,1,15,"[4, 2, 1]",1,WIN,10170.0
30,1,5,"[6, 4, 4]",0,LOSE,10165.0
31,1,15,"[1, 4, 2]",1,WIN,10180.0
32,1,5,"[3, 4, 2]",0,LOSE,10175.0
33,1,15,"[6, 3, 5]",0,LOSE,10160.0
34,1,35,"[3, 4, 5]",0,LOSE,10125.0
35,1,75,"[5, 2, 5]",0,LOSE,10050.0
36,1,155,"[5, 4, 6]",0,LOSE,9895.0
37,1,315,"[4, 4, 2]",0,LOSE,9580.0
38,1,635,"[6, 2, 4]",0,LOSE,8945.0
39,1,1275,"[2, 3, 5]",0,LOSE,7670.0
40,1,2555,"[6, 1, 4]",1,WIN,10225.0
41,1,5,"[2, 6, 4]",0,LOSE,10220.0
42,1,15,"[4, 2, 6]",0,LOSE,10205.0
43,1,35,"[6, 1, 4]",1,WIN,10240.0
44,1,5,"[3, 1, 1]",2,WIN,10250.0
45,1,5,"[1, 1, 6]",2,WIN,10260.0
46,1,5,"[6, 1, 2]",1,WIN,10265.0
47,1,5,"[2, 5, 4]",0,LOSE,10260.0
48,1,15,"[2, 4, 3]",0,LOSE,10245.0
49,1,35,"[4, 1, 5]",1,WIN,10280.0
50,1,5,"[6, 6, 4]",0,LOSE,10275.0
51,1,15,"[5, 3, 6]",0,LOSE,10260.0
52,1,35,"[1, 5, 4]",1,WIN,10295.0
53,1,5,"[3, 2, 5]",0,LOSE,10290.0
54,1,15,"[6, 2, 4]",0,LOSE,10275.0
55,1,35,"[2, 6, 2]",0,LOSE,10240.0
56,1,75,"[3, 6, 4]",0,LOSE,10165.0
57,1,155,"[1, 4, 5]",1,WIN,10320.0
58,1,5,"[6, 2, 2]",0,LOSE,10315.0
59,1,15,"[2, 3, 3]",0,LOSE,10300.0
60,1,35,"[6, 6, 1]",1,WIN,10335.0
61,1,5,"[6, 1, 4]",1,WIN,10340.0
62,1,5,"[3, 2, 3]",0,LOSE,10335.0
63,1,15,"[1, 6, 1]",2,WIN,10365.0
64,1,5,"[3, 1, 2]",1,WIN,10370.0
65,1,5,"[6, 2, 4]",0,LOSE,10365.0
66,1,15,"[3, 3, 3]",0,LOSE,10350.0
67,1,35,"[3, 4, 5]",0,LOSE,10315.0
68,1,75,"[5, 6, 2]",0,LOSE,10240.0
69,1,155,"[2, 3, 5]",0,LOSE,10085.0
70,1,315,"[1, 4, 6]",1,WIN,10400.0
71,1,5,"[1, 4, 1]",2,WIN,10410.0
72,1,5,"[2, 3, 1]",1,WIN,10415.0
73,1,5,"[2, 3, 3]",0,LOSE,10410.0
74,1,15,"[4, 1, 1]",2,WIN,10440.0
75,1,5,"[4, 5, 6]",0,LOSE,10435.0
76,1,15,"[4, 1, 2]",1,WIN,10450.0
77,1,5,"[2, 6, 3]",0,LOSE,10445.0
78,1,15,"[4, 4, 4]",0,LOSE,10430.0
79,1,35,"[6, 4, 5]",0,LOSE,10395.0
80,1,75,"[1, 6, 1]",2,WIN,10545.0
81,1,5,"[3, 3, 4]",0,LOSE,10540.0
82,1,15,"[6, 1, 2]",1,WIN,10555.0
83,1,5,"[5, 4, 6]",0,LOSE,10550.0
84,1,15,"[6, 1, 2]",1,WIN,10565.0
85,1,5,"[2, 5, 2]",0,LOSE,10560.0
86,1,15,"[1, 1, 4]",2,WIN,10590.0
87,1,5,"[6, 1, 6]",1,WIN,10595.0
88,1,5,"[1, 4, 2]",1,WIN,10600.0
89,1,5,"[3, 1, 6]",1,WIN,10605.0
90,1,5,"[1, 2, 6]",1,WIN,10610.0
91,1,5,"[6, 4, 4]",0,LOSE,10605.0
92,1,15,"[2, 6, 2]",0,LOSE,10590.0
93,1,35,"[6, 5, 4]",0,LOSE,10555.0
94,1,75,"[3, 3, 1]",1,WIN,10630.0
95,1,5,"[5, 5, 4]",0,LOSE,10625.0
96,1,15,"[6, 2, 4]",0,LOSE,10610.0
97,1,35,"[5, 6, 6]",0,LOSE,10575.0
98,1,75,"[3, 1, 2]",1,WIN,10650.0
99,1,5,"[3, 1, 3]",1,WIN,10655.0
100,1,5,"[4, 5, 2]",0,LOSE,10650.0
101,2,15,"[3, 4, 2]",0,LOSE,10635.0
102,2,35,"[6, 6, 4]",0,LOSE,10600.0
103,2,75,"[6, 5, 2]",0,LOSE,10525.0
104,2,155,"[6, 6, 6]",0,LOSE,10370.0
105,2,315,"[5, 4, 4]",0,LOSE,10055.0
106,2,635,"[3, 2, 6]",0,LOSE,9420.0
107,2,1275,"[3, 4, 6]",0,LOSE,8145.0
108,2,2555,"[1, 4, 6]",1,WIN,10700.0
109,2,5,"[2, 2, 3]",0,LOSE,10695.0
110,2,15,"[1, 3, 6]",1,WIN,10710.0
111,2,5,"[3, 6, 1]",1,WIN,10715.0
112,2,5,"[2, 6, 1]",1,WIN,10720.0
113,2,5,"[5, 2, 5]",0,LOSE,10715.0
114,2,15,"[6, 6, 1]",1,WIN,10730.0
115,2,5,"[3, 1, 5]",1,WIN,10735.0
116,2,5,"[2, 4, 1]",1,WIN,10740.0
117,2,5,"[5, 5, 4]",0,LOSE,10735.0
118,2,15,"[4, 6, 3]",0,LOSE,10720.0
119,2,35,"[2, 1, 5]",1,WIN,10755.0
120,2,5,"[4, 2, 5]",0,LOSE,10750.0
121,2,15,"[2, 5, 1]",1,WIN,10765.0
122,2,5,"[3, 3, 6]",0,LOSE,10760.0
123,2,15,"[5, 1, 4]",1,WIN,10775.0
124,2,5,"[5, 3, 6]",0,LOSE,10770.0
125,2,15,"[5, 5, 3]",0,LOSE,10755.0
126,2,35,"[1, 6, 4]",1,WIN,10790.0
127,2,5,"[6, 5, 5]",0,LOSE,10785.0
128,2,15,"[4, 1, 2]",1,WIN,10800.0
129,2,5,"[5, 6, 1]",1,WIN,10805.0
130,2,5,"[4, 5, 4]",0,LOSE,10800.0
131,2,15,"[4, 2, 2]",0,LOSE,10785.0
132,2,35,"[6, 4, 4]",0,LOSE,10750.0
133,2,75,"[1, 3, 2]",1,WIN,10825.0
134,2,5,"[1, 5, 5]",1,WIN,10830.0
135,2,5,"[6, 3, 6]",0,LOSE,10825.0
136,2,15,"[1, 4, 3]",1,WIN,10840.0
137,2,5,"[5, 2, 5]",0,LOSE,10835.0
138,2,15,"[5, 5, 3]",0,LOSE,10820.0
139,2,35,"[6, 5, 6]",0,LOSE,10785.0
140,2,75,"[4, 4, 6]",0,LOSE,10710.0
141,2,155,"[6, 6, 4]",0,LOSE,10555.0
142,2,315,"[6, 4, 4]",0,LOSE,10240.0
143,2,635,"[5, 3, 4]",0,LOSE,9605.0
144,2,1275,"[6, 3, 1]",1,WIN,10880.0
145,2,5,"[3, 3, 3]",0,LOSE,10875.0
146,2,15,"[1, 5, 5]",1,WIN,10890.0
147,2,5,"[2, 3, 6]",0,LOSE,10885.0
148,2,15,"[6, 1, 4]",1,WIN,10900.0
149,2,5,"[1, 3, 4]",1,WIN,10905.0
150,2,5,"[5, 4, 4]",0,LOSE,10900.0
151,2,15,"[5, 3, 4]",0,LOSE,10885.0
152,2,35,"[3, 1, 5]",1,WIN,10920.0
153,2,5,"[2, 1, 2]",1,WIN,10925.0
154,2,5,"[3, 4, 4]",0,LOSE,10920.0
155,2,15,"[1, 3, 2]",1,WIN,10935.0
156,2,5,"[2, 3, 3]",0,LOSE,10930.0
157,2,15,"[1, 2, 1]",2,WIN,10960.0
158,2,5,"[6, 3, 6]",0,LOSE,10955.0
159,2,15,"[1, 5, 4]",1,WIN,10970.0
160,2,5,"[4, 2, 5]",0,LOSE,10965.0
161,2,15,"[2, 6, 5]",0,LOSE,10950.0
162,2,35,"[1, 5, 4]",1,WIN,10985.0
163,2,5,"[6, 5, 4]",0,LOSE,10980.0
164,2,15,"[4, 2, 4]",0,LOSE,10965.0
165,2,35,"[1, 1, 1]",3,WIN,11070.0
166,2,5,"[5, 3, 4]",0,LOSE,11065.0
167,2,15,"[6, 5, 2]",0,LOSE,11050.0
168,2,35,"[3, 5, 1]",1,WIN,11085.0
169,2,5,"[3, 2, 3]",0,LOSE,11080.0
170,2,15,"[6, 4, 2]",0,LOSE,11065.0
171,2,35,"[5, 1, 3]",1,WIN,11100.0
172,2,5,"[1, 4, 4]",1,WIN,11105.0
173,2,5,"[3, 1, 4]",1,WIN,11110.0
174,2,5,"[6, 4, 2]",0,LOSE,11105.0
175,2,15,"[1, 3, 3]",1,WIN,11120.0
176,2,5,"[2, 1, 4]",1,WIN,11125.0
177,2,5,"[3, 4, 2]",0,LOSE,11120.0
178,2,15,"[3, 1, 2]",1,WIN,11135.0
179,2,5,"[3, 2, 3]",0,LOSE,11130.0
180,2,15,"[6, 6, 1]",1,WIN,11145.0
181,2,5,"[4, 5, 2]",0,LOSE,11140.0
182,2,15,"[6, 1, 3]",1,WIN,11155.0
183,2,5,"[4, 1, 4]",1,WIN,11160.0
184,2,5,"[2, 3, 2]",0,LOSE,11155.0
185,2,15,"[2, 3, 3]",0,LOSE,11140.0
186,2,35,"[5, 6, 6]",0,LOSE,11105.0
187,2,75,"[4, 1, 3]",1,WIN,11180.0
188,2,5,"[6, 3, 4]",0,LOSE,11175.0
189,2,15,"[2, 2, 6]",0,LOSE,11160.0
190,2,35,"[1, 4, 3]",1,WIN,11195.0
191,2,5,"[3, 2, 1]",1,WIN,11200.0
192,2,5,"[5, 5, 1]",1,WIN,11205.0
193,2,5,"[1, 1, 6]",2,WIN,11215.0
194,2,5,"[4, 3, 5]",0,LOSE,11210.0
195,2,15,"[6, 4, 3]",0,LOSE,11195.0
196,2,35,"[1, 1, 2]",2,WIN,11265.0
197,2,5,"[2, 5, 6]",0,LOSE,11260.0
198,2,15,"[6, 4, 6]",0,LOSE,11245.0
199,2,35,"[5, 4, 4]",0,LOSE,11210.0
200,2,75,"[2, 3, 4]",0,LOSE,11135.0
201,3,155,"[3, 3, 2]",0,LOSE,10980.0
202,3,315,"[5, 3, 2]",0,LOSE,10665.0
203,3,635,"[3, 3, 5]",0,LOSE,10030.0
204,3,1275,"[1, 4, 1]",2,WIN,12580.0
205,3,5,"[5, 3, 1]",1,WIN,12585.0
206,3,5,"[1, 6, 3]",1,WIN,12590.0
207,3,5,"[4, 4, 2]",0,LOSE,12585.0
208,3,15,"[6, 1, 4]",1,WIN,12600.0
209,3,5,"[3, 2, 1]",1,WIN,12605.0
210,3,5,"[6, 5, 4]",0,LOSE,12600.0
211,3,15,"[5, 3, 3]",0,LOSE,12585.0
212,3,35,"[4, 6, 4]",0,LOSE,12550.0
213,3,75,"[4, 4, 6]",0,LOSE,12475.0
214,3,155,"[3, 4, 3]",0,LOSE,12320.0
215,3,315,"[3, 3, 3]",0,LOSE,12005.0
216,3,635,"[3, 6, 5]",0,LOSE,11370.0
217,3,1275,"[6, 1, 2]",1,WIN,12645.0
218,3,5,"[1, 6, 6]",1,WIN,12650.0
219,3,5,"[5, 1, 5]",1,WIN,12655.0
220,3,5,"[5, 4, 2]",0,LOSE,12650.0
221,3,15,"[5, 4, 2]",0,LOSE,12635.0
222,3,35,"[4, 1, 6]",1,WIN,12670.0
223,3,5,"[5, 2, 6]",0,LOSE,12665.0
224,3,15,"[4, 6, 3]",0,LOSE,12650.0
225,3,35,"[3, 1, 4]",1,WIN,12685.0
226,3,5,"[6, 5, 5]",0,LOSE,12680.0
227,3,15,"[4, 2, 4]",0,LOSE,12665.0
228,3,35,"[2, 3, 2]",0,LOSE,12630.0
229,3,75,"[1, 3, 3]",1,WIN,12705.0
230,3,5,"[2, 5, 4]",0,LOSE,12700.0
231,3,15,"[3, 5, 6]",0,LOSE,12685.0
232,3,35,"[6, 3, 3]",0,LOSE,12650.0
233,3,75,"[2, 6, 3]",0,LOSE,12575.0
234,3,155,"[2, 1, 2]",1,WIN,12730.0
235,3,5,"[2, 2, 4]",0,LOSE,12725.0
236,3,15,"[1, 1, 2]",2,WIN,12755.0
237,3,5,"[3, 3, 1]",1,WIN,12760.0
238,3,5,"[1, 4, 2]",1,WIN,12765.0
239,3,5,"[4, 3, 6]",0,LOSE,12760.0
240,3,15,"[6, 1, 3]",1,WIN,12775.0
241,3,5,"[1, 5, 3]",1,WIN,12780.0
242,3,5,"[6, 2, 2]",0,LOSE,12775.0
243,3,15,"[6, 3, 1]",1,WIN,12790.0
244,3,5,"[5, 4, 1]",1,WIN,12795.0
245,3,5,"[3, 4, 6]",0,LOSE,12790.0
246,3,15,"[3, 4, 5]",0,LOSE,12775.0
247,3,35,"[4, 3, 2]",0,LOSE,12740.0
248,3,75,"[5, 4, 1]",1,WIN,12815.0
249,3,5,"[2, 4, 1]",1,WIN,12820.0
250,3,5,"[2, 4, 5]",0,LOSE,12815.0
